title,link
How to Use Electronic Door Lock and KR1201 433MHz RF remote control switch 12V relay DIY Remote Lock,https://youtube.com/watch?v=z_cVQ8QeHyg
Wall Switch Panel Transmitter Battery Replacement Change Battery 433MHz Remote Open Case Pry Off it,https://youtube.com/watch?v=W4-Do1tRaRE
How to Make a Remote Control Electronic Lock via Receiver Module KR1201 12V RF 433MHz Relay Module,https://youtube.com/watch?v=h5bpQ6hNJ20
Relay remote control switch 5V 9V 12V 24V 36V 48V 60V RF KR3001 Based on KR1201 upgrade by QIACHIP,https://youtube.com/watch?v=khUNrXWFi1w
RX480E 433MHz 4 channel RF receiver module with deconding DC3V DC5V by QIACHIP | User guide and Test,https://youtube.com/watch?v=QYsAvuvIypI
"220V & 110V Mini WiFi Smart Switch 16A Relay, Ewelink App, Wiring of External switch, Remote Control",https://youtube.com/watch?v=88uJ4nZVXTQ
"How to use mini wifi smart switch by Ewelink app; 16A relay,voice control with Alexa and Google Home",https://youtube.com/watch?v=LmYkryRjeLc
"How to use remote control switch, DC12V, wireless relay switch 1Ch rf 433Mhz, KR1201 by QIACHIP",https://youtube.com/watch?v=ah2Llv7Pp2w
how to pair ceiling fan remote control via 433MHz remote control  | fan light control pairing tips,https://youtube.com/watch?v=7wjCLC4Fv5Y
How to set ceiling fan light controller to quiet mode via 433MHz remote control mute or beep mode,https://youtube.com/watch?v=SnfOec3FBUw
How to use 433mhz transmitter and receiver to transmit audio Superheterodyne Modules  walkie-talkie,https://youtube.com/watch?v=2qg7oMJTofk
How to use remote control switch remote light switch figerbot switchbot  with 433MHz wireless  robot,https://youtube.com/watch?v=1yyDrsb8iRI
How to use wifi ceiling fan lamp remote control when changing wifi via Tuya smart life APP,https://youtube.com/watch?v=5NM532jrIB4
All details: Wifi & 2.4G wireless smart relay module for Access Control,https://youtube.com/watch?v=09oanee9h0Y
How to use matter gateway connect to Alexa&Apple speakers,https://youtube.com/watch?v=BflR0s89cE8
"Compared with remote control, which one is more cost-effective?",https://youtube.com/watch?v=bK3jTzEqS9Y
How to use 2CH RF remote switch linear actuator controller forward reverse rotation momentary KR2202,https://youtube.com/watch?v=EQyKgdRzZOE
How to use 2CH RF remote switch linear actuator controller forward reverse rotation momentary KR2402,https://youtube.com/watch?v=o7SbTBAeAlU
How To Use eWeLink Wi Fi Smart Light Socket Lamp Bulb Base Holder & Wireless Remote Control,https://youtube.com/watch?v=dOp0XvRVtU4
How to use NSPanel Pro Zigbee 3.0 Smart Home Control Panel Wall Switch woks with Door/Window sensor.,https://youtube.com/watch?v=WzMXEl4QKWE
