"ID","登记人","填写日期","产品型号","问题分类","问题","答案","来源备注","图片","视频","问题的英文翻译","问题的中文翻译","推荐问题分类"
"6","郑泽铭","2026/05/21","FLC06-E110V","故障排除","Fan controller onop at low fan speed I reset the power still inop at low speed","ME:please first set the fan speed on the ceiling fan’s original controller to the highest setting, then use the remote control to adjust it. Otherwise, you may experience abnormal fan speed issues.
HE:Ceiling fan is on high speed  the controller worked on low speed for a week now low speed works for 15 seconds then clicks off all other speeds work fine","B0DY4BMFBR
亚马逊站内信
113-4014485-2292249","","","The fan controller does not work at low fan speed. I reset the power, but low speed still does not work.","风扇控制器在低速档不工作。我重置了电源，但低速档仍然无法工作。","故障排除"
"10","郑泽铭","2026/05/21","FLC-110V","参数查询","What is the safe ambiant temperature range? Can I use this for a fireplace fan, located at the bottom of the fireplace box?","","B07DD9F1BK","","","What is the safe ambient temperature range? Can I use this controller for a fireplace fan installed at the bottom of the fireplace enclosure?","安全环境温度范围是多少？我可以把这个控制器用于安装在壁炉箱底部的壁炉风扇吗？","产品适配"
"21","王光琼","2026/05/22","FLC-220V","兼容性","此处有原装风扇灯参数和原装电机图，参数如下：
风扇 68W，灯是 2*15W E27 LED 灯（总 30W）
电机四根线端子标识：FORWARD/REVERSE/LIGHT/N  1+2UF","这款新控制器可临时应急使用，但不推荐长期直接用，当然也可以通过简单改造后安全使用，具体说明如下：
1. 会永久丢失风扇反转功能（无改造空间），但灯光开关、风扇调速功能完全正常
2. 电容参数不匹配问题很好解决：只需在控制器的黑色风扇输出线上串联 1 个 0.8-1μF/450V 的无极性电容（五金店几块钱就能买到），改造后转速、电流都会恢复到原装水平，不会损伤电机
3. 接线方法：原风扇反转红线单独包好悬空，其余线按 L/N/FAN/LIGHT/COM 对应连接即可   写QA可以参考我们链接详情的QA内容：https://www.amazon.co.uk/gp/product/B07RY6HTF5","订单号：407-8825533-6070738 ","WhatsApp Image 2026-05-21 at 14.51.50 (3).jpeg,WhatsApp Image 2026-05-21 at 14.51.50.jpeg,WhatsApp Image 2026-05-21 at 14.51.51.jpeg,WhatsApp Image 2026-05-21 at 14.51.50 (1).jpeg,WhatsApp Image 2026-05-21 at 14.51.50 (4).jpeg","","The original fan-light specifications and the original motor image are provided here. The fan is 68 W. The lights are two 15 W E27 LED bulbs, 30 W total. The four motor wire terminals are labeled FORWARD, REVERSE, LIGHT, and N. The capacitor is 1+2 μF.","此处提供了原装风扇灯参数和原装电机图片。风扇功率为 68 W；灯具为 2 个 15 W 的 E27 LED 灯泡，总功率 30 W。电机四根线的端子标识为 FORWARD、REVERSE、LIGHT 和 N。电容为 1+2 μF。","产品适配"
"29","王光琼","2026/05/22","FLC-220V","兼容性","Hello.
I purchased your product https://www.amazon.es/dp/B07RY6HTF5?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1

To replace the receiver on my ceiling fan https://faro.es/es/coleccion/easy-ventilador-de-techo-gris/

Everything seems fine except for one thing. The speeds are too fast. How can I reduce the speed of each of the three fan speeds?

Thank you","Hello, the fan speed is higher than expected due to a compatibility issue between the fan motor and the running capacitor; this is not a fault with the controller. This product comes standard with a 2.5 μF start capacitor and a 3 μF running capacitor;
Here are 3 suggestions:
Option A: Replace your fan’s original ‘start capacitor’ with a model of slightly lower capacity (for example, replace the 2.5 μF capacitor with a 1.5 μF capacitor).
Option B: Alternatively, you could remove the fan’s capacitor first, connect the QIACHIP controller, and check whether the fan speed adjusts.
Option C: You can connect a capacitor in parallel at the QIACHIP controller’s input port; this will act as a current limiter, causing the fan’s overall speed to gradually decrease.
Please use electricity safely, and ensure that all attempts are carried out with the assistance of a professional.
We hope this helps resolve your issue. Thank you.","邮件联系","","","Hello. I bought your product to replace the receiver in my ceiling fan. Everything seems fine except that all three fan speeds are too fast. How can I reduce each speed? Thank you.","你好。我购买了你们的产品，用来替换吊扇中的接收器。除三档风速都太快之外，其他方面似乎都正常。怎样才能降低每一档的速度？谢谢。","故障排除"
"39","王光琼","2026/05/28","FLC-220V","故障排除","Fuktionierte 6 Monate gut. Danach wurden wir nachts durch Brandgeruch geweckt. Die Steuerung hatte sich in einen geschmolzenen Haufen Plastik verwandelt und hatte auf dem Untergrund einen tiefen Brandfleck hinterlassen, das hätte sehr böse enden können. Im Gerät selbst ist offenbar kein Schutz enthalten und es kokelte lustig vor sich hin. Schrott.","","https://www.amazon.de/gp/product/B07RY6HTF5?th=1","image.png,image.png","","It worked well for six months. Then we woke up at night to a burning smell. The controller had melted into a lump of plastic and left a deep burn mark on the surface below. This could have ended very badly. The device apparently has no internal protection and kept smoldering. It is scrap.","产品正常工作了六个月。之后有一天夜里，我们被烧焦味惊醒。控制器已经熔成一团塑料，并在下方表面留下了很深的烧痕，后果本可能非常严重。设备内部显然没有保护装置，而且一直在阴燃。它已经报废了。","故障排除"
"56","王昭坤","2026/06/19","FLC05-E220V","故障排除","Hello,
After purchasing a remote control for a 220V AC fan with 2 input cables and 3 output cables (Order No. 3073472102410101), when I turn it on I only hear one beep and not the 3 described. What should I do? (Does a single beep indicate an error code?)
Thank you for your help.
I have already sent you the same message. If I don't receive a response, I will open a dispute with AliExpress.","Hello, do you only hear a beep during control or only a beep during pairing?","订单号：3073472102410101
商品ID：1005005277855244","","","Hello. I bought a remote controller for a 220 V AC fan with two input wires and three output wires. When I turn it on, I hear only one beep instead of the three beeps described. What should I do? Does one beep indicate an error code? I already sent the same message. If I receive no response, I will open a dispute with AliExpress.","你好。我购买了一款用于 220 V AC 风扇的遥控器，它有两根输入线和三根输出线。开机时，我只听到一声蜂鸣，而不是说明中所述的三声。我该怎么办？一声蜂鸣是否表示错误代码？我已经发送过同样的信息。如果得不到回复，我会在 AliExpress 发起纠纷。","故障排除"
"84","王光琼","2026/07/13","FLC-220V","安装接线","Monté sur un ventilateur de plafond Hunter Industrie II acheté il y a une dizaine d'années, le kit sans fil fonctionne parfaitement. Néanmoins la vitesse maximale du ventilateur ne fonctionnait déjà plus donc je n'ai pas pu la tester. Le kit se branche sur les deux fils neutre et phase, directement en alternatif, et remplace la plaque de commande murale avec le condensateur livré par défaut, que j'ai converti en simple interrupteur. Le boitier est assez volumineux, il n'est pas rentré dans le socle du ventilateur, j'ai dû l'insérer directement dans le faux-plafond au travers d'un trou de 67mm, en rallongeant les câbles de sortie, d'ailleurs leur longueur est vraiment trop limitée, 30-40cm aurait été vraiment plus pratique. Les borniers de connexion sont inutiles, voir dangereux, remplacez les par des borniers de connexion rapide type Wago ou des dominos. La télécommande fait son job mais elle pourrait être plus qualitative. Tout a fonctionné du premier coup.","","","","","I installed the wireless kit on a Hunter Industrie II ceiling fan bought about ten years ago, and it works perfectly. However, the fan's highest speed had already stopped working, so I could not test it. The kit connects directly to the AC neutral and live wires. It replaces the wall control board with its original capacitor, which I converted into a simple switch. The receiver is quite large and did not fit in the fan canopy. I had to insert it into the suspended ceiling through a 67 mm hole and extend the output wires. The wires are far too short; 30–40 cm would be much more practical. The supplied connectors are useless and potentially dangerous. Replace them with Wago-style quick connectors or terminal blocks. The remote works, but it could feel more solid. Everything worked on the first try.","我把这套无线控制器安装在一台约十年前购买的 Hunter Industrie II 吊扇上，运行完全正常。不过，这台风扇的最高档原本就已失效，所以我无法测试最高档。该控制器直接连接交流电的零线和火线，并替代带原装电容的墙壁控制板；我把墙壁控制板改成了普通开关。接收器体积较大，无法装进吊扇底座。我不得不通过一个 67 mm 的孔把它放入吊顶内，并延长输出线。原配线太短，若有 30–40 cm 会实用得多。随附接线端子没有用，甚至可能危险，建议换成 Wago 类快速连接器或接线端子。遥控器能正常工作，但质感可以更好。所有功能第一次安装就成功了。","安装设置"
"85","王光琼","2026/07/14","FLC-220V","故障排除","The unit has been working fine for the last couple of weeks, but today the fan does not work on the 'low' setting. Med and Hi are fine.
1. Switch the power on at the wall
2. Press the low setting on the remote (the fan spins at high speed for a few seconds, then slows down to a stop)
Thanks","Here’s what’s happening in simple terms: when you press low, the fan first spins fast for a few seconds — this is the controller giving it a quick boost to get started, then it drops down to low speed. The fact that this boost works, and medium/high speeds run perfectly, means the remote and controller are working fully as they should.
Low speed runs on lower power, so it has very little extra strength to keep spinning. When a fan gets older, or builds up extra resistance from dust or worn internal parts, low speed is always the first one to struggle and stop, while higher speeds still work fine.
Please try these 3 simple checks:
1. Turn the wall switch off for 60 seconds, then turn it back on and test low speed again to rule out a temporary glitch.
2. With the power off, spin the fan blades by hand. If they feel stiff or don’t spin freely, the fan motor has built up resistance over time — this is very common on older fans.
3. Double-check that all wire connections inside the fan canopy are tight. Loose wires cause a small power drop that only affects the low speed setting.    他再次回复：Thank you for your email and the troubleshooting advice. 
I tried your tips, but the problem persisted, in fact I noticed that both med and hi buttons now make the fan go in high-speed mode only.
When I installed the remote a few weeks ago it worked perfectly,  we were very happy.","邮件联系","","","The unit worked well for the last two weeks, but today the fan stopped working on LOW. MED and HI still work. When I switch on the wall power and press LOW, the fan runs at high speed for a few seconds, then slows down and stops.","过去两周设备一直工作正常，但今天风扇的 LOW 低速档不工作了，MED 中速档和 HI 高速档仍正常。打开墙壁电源并按下 LOW 后，风扇会先高速转几秒，然后逐渐减速并停止。","故障排除"
"86","王光琼","2026/07/14","FLC-220V","故障排除","Casi 3 años después de instalarlo se ha vuelto insufrible y tendré que reemplazarlo.Como dicen algunas opiniones en inglés, la luz empieza a apagarse y a encenderse de forma aleatoria en milisegundos, por lo que si fuese epiléptico habría durado menos que un caramelo en la puerta de un colegio. Esto ocurría durante algunos segundos y ya paraba (así habrá sido durante 3/4 meses), sin embargo ahora ocurre todo el rato, cuando la luz consigue estabilizarse vuelve de nuevo a parecer una feria a los pocos segundos y así en un bucle infinito. Finalmente he optado por apagar la luz y encender un flexo hasta que encuentre otro.Es cierro que las velocidades del ventilador escalan incorrectamente, puesto que la primera velocidad es lenta (a mi gusto bastante bien) y entre la segunda y tercera velocidad no hay prácticamente diferencia (muy fuerte). Personalmente para mí era soportable.En definitiva: en casi 3 años la luz empezó a dar problemas pareciendo una discoteca y sin poder pararlo (más que apagando la luz). Las velocidades bien aunque no hay casi diferencia entre el medio y el alto.","","","","","Almost three years after installation, the controller became unbearable and I must replace it. The light began switching off and on randomly within milliseconds. At first this happened for a few seconds and stopped, and this continued for three or four months. Now it happens constantly. When the light stabilizes, it starts flashing again a few seconds later in an endless loop. I now leave the light off and use a desk lamp until I find a replacement. The fan speeds also scale incorrectly. LOW is slow and acceptable, but there is almost no difference between MED and HI, and both are very strong. I could tolerate the speed issue. In summary, after almost three years the light began flashing continuously and could only be stopped by turning it off. The speeds work, but MED and HI are almost the same.","安装近三年后，这个控制器变得令人无法忍受，我只能更换。灯开始在几毫秒内随机开关。起初这种情况只持续几秒便停止，并这样反复了三四个月；现在则一直发生。灯刚稳定下来，几秒后又开始闪烁，形成无限循环。我最终只能关灯，在找到替代品之前使用台灯。风扇档位也不正确：LOW 低速较慢，个人感觉尚可，但 MED 中速和 HI 高速几乎没有区别，而且都很强。这个速度问题我原本还能接受。总之，使用近三年后，灯开始像迪斯科灯一样持续闪烁，除了关灯以外无法停止；风扇档位可用，但中速和高速几乎一样。","故障排除"
"87","王光琼","2026/07/14","FLC-220V","功能设置","客户1：Fonctionne correctement. Il faut êtres électricien pour l'installer. Petit bémol ou j'ai rien compris, on ne peut pas couper le ventilateur avec celle ci sans éteindre les lampes et inversement ?                                                     客户2：Con il Mio ventilatore NON SI ABBINA MOLTO SE ACCENDO LUCE non Posso Usarlo come ventola e Viceversa … ma Riesco comunque a conviverci un po’ complessa la configurazione !!!","","","","","Customer 1: It works correctly, but installation requires an electrician. One concern, unless I misunderstood: is it impossible to turn off the fan without turning off the lights, and vice versa? Customer 2: It does not pair well with my fan. If I turn on the light, I cannot use the fan, and vice versa. I can still live with it, but the setup is rather complicated.","客户 1：产品工作正常，但安装需要电工。有一点不太满意，也可能是我没弄明白：是否无法在不关灯的情况下关闭风扇，反之亦然？客户 2：它与我的风扇配合得不太好。开灯后就无法使用风扇，反之亦然。虽然还能勉强使用，但配置比较复杂。","安装设置"
